title, price, description, category
Vendo Loja de Roupa Feminina,R$ 470.000,À venda,Comércio e indústria
Terreno Damha I,R$ 220.000,À venda   | 436 m²,"Terrenos, sítios e fazendas"
Vende-se lanche com terreno,R$ 280.000,À venda   | 185 m²,"Terrenos, sítios e fazendas"
Jardim Novo Prudentino,R$ 550,À venda   | 3 quartos | 160 m²,CasasProfissional
Residência na Cohab,R$ 116.000,Para alugar   | 2 quartos,Casas
"Terreno para venda em presidente prudente, são sebastião",R$ 100.000,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
"Terreno para venda em presidente prudente, prudentino",R$ 100.000,À venda   | 228 m²,"Terrenos, sítios e fazendasProfissional"
"Aluga-se prédio comercial, todo azulejaria, laje",R$ 75.000,Para alugar   | 90 m² | Condomínio: R$ 0,Comércio e indústria
Excelente terreno plaino á venda no Parque Residencial Carandá.Área total de 180m².,R$ 1.100,À venda   | 180 m²,"Terrenos, sítios e fazendasProfissional"
"Casa para venda em são paulo, centro ( gardenia ) são paulo, 2 dormitórios, 1 banheiro, 4",R$ 110.000,À venda   | 2 quartos | 530 m²,CasasProfissional
Residência na Vila Formosa - Próximo a Pizzaria n°1,R$ 600,Para alugar   | 3 quartos,Casas
"Terreno para venda em presidente prudente, residencial sao paulo",R$ 550.000,À venda   | 252 m²,"Terrenos, sítios e fazendasProfissional"
Residência no Conj. Habitacional Alcides Perez Videira,R$ 670.000,Para alugar   | 2 quartos,Casas
Apartamento no Condomínio residencial Village Park,R$ 329.000,À venda   | 3 quartos | 112 m² | Condomínio: R$ 520,ApartamentosProfissional
"Apartamento com 2 dormitórios à venda, 89 m² por R$ 670.000 - Vila Mathilde Vieira - Presi",R$ 215.000,À venda   | 2 quartos | 90 m² | Condomínio: R$ 500,ApartamentosProfissional
Casa no Residencial São Paulo recém construído,R$ 850,À venda   | 3 quartos | 164 m²,Casas
Condomínio fechado Solares Presidente Prudente Sp,R$ 185.000,À venda   | 420 m²,"Terrenos, sítios e fazendas"
Porto Madero,R$ 1.750.000,À venda   | 340 m²,"Terrenos, sítios e fazendas"
"Apartamento para locação em presidente prudente, edificio santa helena, 3 dormitórios, 1 s",R$ 260.000,Para alugar   | 3 quartos | Condomínio: R$ 500,ApartamentosProfissional
